VNUM	LOCALE_NAME
64050	Metin Doppelte Beute
64051	Boss Doppelbeute
64052	Premium (7 Tage)
64053	Premium (30 Tage)
31421	Dungeon Zertifikat (Niedrig)
31422	Dungeon Zertifikat (Mittel)
31423	Dungeon Zertifikat (Schwer)
31340	Seelen Helm+0
31341	Seelen Helm+1
31342	Seelen Helm+2
31343	Seelen Helm+3
31344	Seelen Helm+4
31345	Seelen Helm+5
31346	Seelen Helm+6
31347	Seelen Helm+7
31348	Seelen Helm+8
31349	Seelen Helm+9
31350	Seelen Helm+0
31351	Seelen Helm+1
31352	Seelen Helm+2
31353	Seelen Helm+3
31354	Seelen Helm+4
31355	Seelen Helm+5
31356	Seelen Helm+6
31357	Seelen Helm+7
31358	Seelen Helm+8
31359	Seelen Helm+9
31360	Seelen Helm+0
31361	Seelen Helm+1
31362	Seelen Helm+2
31363	Seelen Helm+3
31364	Seelen Helm+4
31365	Seelen Helm+5
31366	Seelen Helm+6
31367	Seelen Helm+7
31368	Seelen Helm+8
31369	Seelen Helm+9
31370	Seelen Helm+0
31371	Seelen Helm+1
31372	Seelen Helm+2
31373	Seelen Helm+3
31374	Seelen Helm+4
31375	Seelen Helm+5
31376	Seelen Helm+6
31377	Seelen Helm+7
31378	Seelen Helm+8
31379	Seelen Helm+9
31380	Seelen Ohrring+0
31381	Seelen Ohrring+1
31382	Seelen Ohrring+2
31383	Seelen Ohrring+3
31384	Seelen Ohrring+4
31385	Seelen Ohrring+5
31386	Seelen Ohrring+6
31387	Seelen Ohrring+7
31388	Seelen Ohrring+8
31389	Seelen Ohrring+9
31390	Seelenarmband+0
31391	Seelenarmband+1
31392	Seelenarmband+2
31393	Seelenarmband+3
31394	Seelenarmband+4
31395	Seelenarmband+5
31396	Seelenarmband+6
31397	Seelenarmband+7
31398	Seelenarmband+8
31399	Seelenarmband+9
31400	Seelen Halskette+0
31401	Seelen Halskette+1
31402	Seelen Halskette+2
31403	Seelen Halskette+3
31404	Seelen Halskette+4
31405	Seelen Halskette+5
31406	Seelen Halskette+6
31407	Seelen Halskette+7
31408	Seelen Halskette+8
31409	Seelen Halskette+9
31334	Stueck Erz (Niedrig)
31335	Stueck Erz (Hoch)
31326	Passivtruhe (Niedrig)
31327	Passivtruhe (Mittel)
31328	Passivtruhe (Hoch)
31280	Sensenmann Truhe (Leg.)
31281	Baroness Truhe (Leg.)
31282	Beran-Setaou Truhe (Leg.)
31283	Azrael Truhe (Leg.)
31284	Razador Truhe (Leg.)
31285	Nemere Truhe (Leg.)
31286	Jotun Thrym Truhe (Leg.)
31287	Hydra s Truhe (Leg.)
31288	Sternenschatz (Leg.)
31289	Roter Drache Truhe (Leg.)
31290	Akzadur Truhe (Leg.)
31291	RX Nemere Truhe (Leg.)
31292	RX Razador Truhe (Leg.)
31293	Schlangenschatz (Leg.)
31294	Drachen Truhe Leicht (Leg.)
31295	Dragon Truhe Schwer (Leg.)
31310	Sensenmann Truhe (Epic.)
31311	Baroness Truhe (Epic.)
31312	Beran-Setaou Truhe (Epic.)
31313	Azrael Truhe (Epic.)
31314	Razador Truhe (Epic.)
31315	Nemere Truhe (Epic)
31316	Jotun Thrym Truhe (Epic.)
31317	Hydra s Truhe (Epic.)
31318	Sternenschatz (Epic.)
31319	Roter Drache Truhe (Epic.)
31320	Akzadur Truhe (Epic.)
31321	RX Nemere Truhe (Epic.)
31322	RX Razador Truhe (Epic.)
31323	Schlangenschatz (Epic.)
31324	Drachen Truhe Leicht (Epic.)
31325	Drachen Truhe Schwer (Epic.)
64001	Kristall (Roh)
64002	Kristall (Schliff)
64003	Kristall (Rar)
64004	Kristall (Antik)
64005	Kristall (Legend r)
64011	Orangefarbene Scherbe (Roh)
64012	Orangefarbene Scherbe (Schliff)
64013	Orangefarbene Scherbe (Rar)
64014	Orangefarbene Scherbe (Antik)
64015	Orangefarbene Scherbe (Legend r)
64021	Blaue Scherbe (Roh)
64022	Blaue Scherbe (Schiff)
64023	Blaue Scherbe (Rar)
64024	Blaue Scherbe (Antik)
64025	Blaue Scherbe (Legend r)
64031	Verzauberter Kristall
64032	Kristall Serum (1h)
64033	Kristall Serum (3h)
64034	Kristall Serum (6h)
64035	Magische Schriftrolle
31278	Smaragd Platte
31277	Schimmernde G Perle
50940	Tamer (Monster)
50941	Tamer (Monster) av.
50942	Tamer (Monster) exp.
50950	Tamer (Metin Stein)
50951	Tamer (Metin Stein) av.
50952	Tamer (Metin Stein) exp.
50960	Tamer (Boss)
50961	Tamer (Boss) av.
50962	Tamer (Boss) exp.
50970	Tamer (Halbmensch)
50971	Tamer (Halbmensch) av.
50972	Tamer (Halbmensch) exp.
50973	Exorzismus-Pergament
50974	Rat des starken Einsiedlers
1	Yang
2	Deutsche Version
10	Schwert+0
11	Schwert+1
12	Schwert+2
13	Schwert+3
14	Schwert+4
15	Schwert+5
16	Schwert+6
17	Schwert+7
18	Schwert+8
19	Schwert+9
20	Langschwert+0
21	Langschwert+1
22	Langschwert+2
23	Langschwert+3
24	Langschwert+4
25	Langschwert+5
26	Langschwert+6
27	Langschwert+7
28	Langschwert+8
29	Anfingerschwert
30	Sichelschwert+0
31	Sichelschwert+1
32	Sichelschwert+2
33	Sichelschwert+3
34	Sichelschwert+4
35	Sichelschwert+5
36	Sichelschwert+6
37	Sichelschwert+7
38	Sichelschwert+8
39	Sichelschwert+9
40	Bambusschwert+0
41	Bambusschwert+1
42	Bambusschwert+2
43	Bambusschwert+3
44	Bambusschwert+4
45	Bambusschwert+5
46	Bambusschwert+6
47	Bambusschwert+7
48	Bambusschwert+8
49	Bambusschwert+9
50	Breitschwert+0
51	Breitschwert+1
52	Breitschwert+2
53	Breitschwert+3
54	Breitschwert+4
55	Breitschwert+5
56	Breitschwert+6
57	Breitschwert+7
58	Breitschwert+8
59	Breitschwert+9
60	Silberschwert+0
61	Silberschwert+1
62	Silberschwert+2
63	Silberschwert+3
64	Silberschwert+4
65	Silberschwert+5
66	Silberschwert+6
67	Silberschwert+7
68	Silberschwert+8
69	Silberschwert+9
70	Orchideenschwert+0
71	Orchideenschwert+1
72	Orchideenschwert+2
73	Orchideenschwert+3
74	Orchideenschwert+4
75	Orchideenschwert+5
76	Orchideenschwert+6
77	Orchideenschwert+7
78	Orchideenschwert+8
79	Orchideenschwert+9
80	Anderthalbhander+0
81	Anderthalbhander+1
82	Anderthalbhander+2
83	Anderthalbhander+3
84	Anderthalbhander+4
85	Anderthalbhander+5
86	Anderthalbhander+6
87	Anderthalbhander+7
88	Anderthalbhander+8
89	Anderthalbhander+9
90	Barbarenschwert+0
91	Barbarenschwert+1
92	Barbarenschwert+2
93	Barbarenschwert+3
94	Barbarenschwert+4
95	Barbarenschwert+5
96	Barbarenschwert+6
97	Barbarenschwert+7
98	Barbarenschwert+8
99	Barbarenschwert+9
100	Blutiges Schwert+0
101	Blutiges Schwert+1
102	Blutiges Schwert+2
103	Blutiges Schwert+3
104	Blutiges Schwert+4
105	Blutiges Schwert+5
106	Blutiges Schwert+6
107	Blutiges Schwert+7
