Vnum	LocaleName
1	Yang
2	Versi?n Espa?ola
10	Espada+0
11	Espada+1
12	Espada+2
13	Espada+3
14	Espada+4
15	Espada+5
16	Espada+6
17	Espada+7
18	Espada+8
19	Espada+9
20	Espada Larga+0
21	Espada Larga+1
22	Espada Larga+2
23	Espada Larga+3
24	Espada Larga+4
25	Espada Larga+5
26	Espada Larga+6
27	Espada Larga+7
28	Espada Larga+8
29	Espada Larga+9
30	Espada Creciente+0
31	Espada Creciente+1
32	Espada Creciente+2
33	Espada Creciente+3
34	Espada Creciente+4
35	Espada Creciente+5
36	Espada Creciente+6
37	Espada Creciente+7
38	Espada Creciente+8
39	Espada Creciente+9
40	Espada de Bamb?+0
41	Espada de Bamb?+1
42	Espada de Bamb?+2
43	Espada de Bamb?+3
44	Espada de Bamb?+4
45	Espada de Bamb?+5
46	Espada de Bamb?+6
47	Espada de Bamb?+7
48	Espada de Bamb?+8
49	Espada de Bamb?+9
50	Espada Ancha+0
51	Espada Ancha+1
52	Espada Ancha+2
53	Espada Ancha+3
54	Espada Ancha+4
55	Espada Ancha+5
56	Espada Ancha+6
57	Espada Ancha+7
58	Espada Ancha+8
59	Espada Ancha+9
60	Espada de Plata+0
61	Espada de Plata+1
62	Espada de Plata+2
63	Espada de Plata+3
64	Espada de Plata+4
65	Espada de Plata+5
66	Espada de Plata+6
67	Espada de Plata+7
68	Espada de Plata+8
69	Espada de Plata+9
70	Espada de Orqu?dea+0
71	Espada de Orqu?dea+1
72	Espada de Orqu?dea+2
73	Espada de Orqu?dea+3
74	Espada de Orqu?dea+4
75	Espada de Orqu?dea+5
76	Espada de Orqu?dea+6
77	Espada de Orqu?dea+7
78	Espada de Orqu?dea+8
79	Espada de Orqu?dea+9
80	Espada Bastarda+0
81	Espada Bastarda+1
82	Espada Bastarda+2
83	Espada Bastarda+3
84	Espada Bastarda+4
85	Espada Bastarda+5
86	Espada Bastarda+6
87	Espada Bastarda+7
88	Espada Bastarda+8
89	Espada Bastarda+9
90	Espada B?rbara+0
91	Espada B?rbara+1
92	Espada B?rbara+2
93	Espada B?rbara+3
94	Espada B?rbara+4
95	Espada B?rbara+5
96	Espada B?rbara+6
97	Espada B?rbara+7
98	Espada B?rbara+8
99	Espada B?rbara+9
100	Espada Sangrienta+0
101	Espada Sangrienta+1
102	Espada Sangrienta+2
103	Espada Sangrienta+3
104	Espada Sangrienta+4
105	Espada Sangrienta+5
106	Espada Sangrienta+6
107	Espada Sangrienta+7
108	Espada Sangrienta+8
109	Espada Sangrienta+9
110	Gran Espada+0
111	Gran Espada+1
112	Gran Espada+2
113	Gran Espada+3
114	Gran Espada+4
115	Gran Espada+5
116	Gran Espada+6
117	Gran Espada+7
118	Gran Espada+8
119	Gran Espada+9
120	Espada Brujo Volador+0
121	Espada Brujo Volador+1
122	Espada Brujo Volador+2
123	Espada Brujo Volador+3
124	Espada Brujo Volador+4
125	Espada Brujo Volador+5
126	Espada Brujo Volador+6
127	Espada Brujo Volador+7
128	Espada Brujo Volador+8
129	Espada Brujo Volador+9
130	Espada Media Luna+0
131	Espada Media Luna+1
132	Espada Media Luna+2
133	Espada Media Luna+3
134	Espada Media Luna+4
135	Espada Media Luna+5
136	Espada Media Luna+6
137	Espada Media Luna+7
138	Espada Media Luna+8
139	Espada Media Luna+9
140	Espada de Batalla+0
141	Espada de Batalla+1
142	Espada de Batalla+2
143	Espada de Batalla+3
144	Espada de Batalla+4
145	Espada de Batalla+5
146	Espada de Batalla+6
147	Espada de Batalla+7
148	Espada de Batalla+8
149	Espada de Batalla+9
150	Hoja Colmillo Fantasma+0
151	Hoja Colmillo Fantasma+1
152	Hoja Colmillo Fantasma+2
153	Hoja Colmillo Fantasma+3
154	Hoja Colmillo Fantasma+4
155	Hoja Colmillo Fantasma+5
156	Hoja Colmillo Fantasma+6
157	Hoja Colmillo Fantasma+7
158	Hoja Colmillo Fantasma+8
159	Hoja Colmillo Fantasma+9
160	Espada Ninfa+0
161	Espada Ninfa+1
162	Espada Ninfa+2
163	Espada Ninfa+3
164	Espada Ninfa+4
165	Espada Ninfa+5
166	Espada Ninfa+6
167	Espada Ninfa+7
168	Espada Ninfa+8
169	Espada Ninfa+9
170	Espada Picadura+0
171	Espada Picadura+1
172	Espada Picadura+2
173	Espada Picadura+3
174	Espada Picadura+4
175	Espada Picadura+5
176	Espada Picadura+6
177	Espada Picadura+7
178	Espada Picadura+8
179	Espada Picadura+9
180	Espada Envenenada+0
181	Espada Envenenada+1
182	Espada Envenenada+2
183	Espada Envenenada+3
184	Espada Envenenada+4
185	Espada Envenenada+5
186	Espada Envenenada+6
187	Espada Envenenada+7
188	Espada Envenenada+8
189	Espada Envenenada+9
190	Espada Le?n+0
191	Espada Le?n+1
192	Espada Le?n+2
193	Espada Le?n+3
194	Espada Le?n+4
195	Espada Le?n+5
196	Espada Le?n+6
197	Espada Le?n+7
198	Espada Le?n+8
199	Espada Le?n+9
200	Espada L?mite+0
201	Espada L?mite+1
202	Espada L?mite+2
203	Espada L?mite+3
204	Espada L?mite+4
205	Espada L?mite+5
206	Espada L?mite+6
207	Espada L?mite+7
208	Espada L?mite+8
209	Espada L?mite+9
210	Espada Mort?fera+0
211	Espada Mort?fera+1
212	Espada Mort?fera+2
213	Espada Mort?fera+3
214	Espada Mort?fera+4
215	Espada Mort?fera+5
216	Espada Mort?fera+6
217	Espada Mort?fera+7
218	Espada Mort?fera+8
219	Espada Mort?fera+9
220	Espada Lunar+0
221	Espada Lunar+1
222	Espada Lunar+2
223	Espada Lunar+3
224	Espada Lunar+4
225	Espada Lunar+5
226	Espada Lunar+6
227	Espada Lunar+7
228	Espada Lunar+8
229	Espada Lunar+9
230	Espada Celestial+0
231	Espada Celestial+1
232	Espada Celestial+2
233	Espada Celestial+3
234	Espada Celestial+4
235	Espada Celestial+5
236	Espada Celestial+6
237	Espada Celestial+7
238	Espada Celestial+8
239	Espada Celestial+9
240	Espada Exorcismo+0
241	Espada Exorcismo+1
242	Espada Exorcismo+2
243	Espada Exorcismo+3
244	Espada Exorcismo+4
