VNUM	LOCALE_NAME
64050	Metin Double Loot
64051	Boss Double Loot
64052	Premium (7 Days)
64053	Premium (30 Days)
31421	Dungeon Cert.(Low)
31422	Dungeon Cert.(Mid)
31423	Dungeon Cert.(High)
31340	Soul Helmet+0
31341	Soul Helmet+1
31342	Soul Helmet+2
31343	Soul Helmet+3
31344	Soul Helmet+4
31345	Soul Helmet+5
31346	Soul Helmet+6
31347	Soul Helmet+7
31348	Soul Helmet+8
31349	Soul Helmet+9
31350	Soul Helmet+0
31351	Soul Helmet+1
31352	Soul Helmet+2
31353	Soul Helmet+3
31354	Soul Helmet+4
31355	Soul Helmet+5
31356	Soul Helmet+6
31357	Soul Helmet+7
31358	Soul Helmet+8
31359	Soul Helmet+9
31360	Soul Helmet+0
31361	Soul Helmet+1
31362	Soul Helmet+2
31363	Soul Helmet+3
31364	Soul Helmet+4
31365	Soul Helmet+5
31366	Soul Helmet+6
31367	Soul Helmet+7
31368	Soul Helmet+8
31369	Soul Helmet+9
31370	Soul Helmet+0
31371	Soul Helmet+1
31372	Soul Helmet+2
31373	Soul Helmet+3
31374	Soul Helmet+4
31375	Soul Helmet+5
31376	Soul Helmet+6
31377	Soul Helmet+7
31378	Soul Helmet+8
31379	Soul Helmet+9
31380	Soul Earring+0
31381	Soul Earring+1
31382	Soul Earring+2
31383	Soul Earring+3
31384	Soul Earring+4
31385	Soul Earring+5
31386	Soul Earring+6
31387	Soul Earring+7
31388	Soul Earring+8
31389	Soul Earring+9
31390	Soul Bracelet+0
31391	Soul Bracelet+1
31392	Soul Bracelet+2
31393	Soul Bracelet+3
31394	Soul Bracelet+4
31395	Soul Bracelet+5
31396	Soul Bracelet+6
31397	Soul Bracelet+7
31398	Soul Bracelet+8
31399	Soul Bracelet+9
31400	Soul Necklace+0
31401	Soul Necklace+1
31402	Soul Necklace+2
31403	Soul Necklace+3
31404	Soul Necklace+4
31405	Soul Necklace+5
31406	Soul Necklace+6
31407	Soul Necklace+7
31408	Soul Necklace+8
31409	Soul Necklace+9
31334	Piece of Ore (Low)
31335	Piece of Ore (High)
31326	Scrigno Passivo (Basso)
31327	Scrigno Passivo (Medio)
31328	Scrigno Passivo (Alto)
31280	Death Reaper Chest (Leg.)
31281	Baroness Chest (Leg.)
31282	Beran-Setaou Chest (Leg.)
31283	Azrael Chest (Leg.)
31284	Razador Chest (Leg.)
31285	Nemere Chest (Leg.)
31286	Jotun Thrym Chest (Leg.)
31287	Hydra?s Chest (Leg.)
31288	Gold Case (Leg.)
31289	Red Dragon Chest (Leg.)
31290	Akzadur Chest (Leg.)
31291	RX Nemere Chest (Leg.)
31292	RX Razador Chest (Leg.)
31293	Serpent Treasure (Leg.)
31294	Dragon Chest Light (Leg.)
31295	Dragon Chest Heavy (Leg.)
31310	Death Reaper Chest (Epic.)
31311	Baroness Chest (Epic.)
31312	Beran-Setaou Chest (Epic.)
31313	Azrael Chest (Epic.)
31314	Razador Chest (Epic.)
31315	Nemere Chest (Epic)
31316	Jotun Thrym Chest (Epic.)
31317	Hydra?s Chest (Epic.)
31318	Gold Case (Epic.)
31319	Red Dragon Chest (Epic.)
31320	Akzadur Chest (Epic.)
31321	RX Nemere Chest (Epic.)
31322	RX Razador Chest (Epic.)
31323	Serpent Treasure (Epic.)
31324	Dragon Chest Light (Epic.)
31325	Dragon Chest Heavy (Epic.)
64001	Crystal (Rough)
64002	Crystal (Cut)
64003	Crystal (Rare)
64004	Crystal (Antique)
64005	Crystal (Leg.)
64011	Orange Shard (Rough)
64012	Orange Shard (Cut)
64013	Orange Shard (Rare)
64014	Orange Shard (Antique)
64015	Orange Shard (Leg.)
64021	Blue Shard (Rough)
64022	Blue Shard (Cut)
64023	Blue Shard (Rare)
