VNUM	LOCALE_NAME
64050	Metins com loot a dobrar
64051	dobro de drop nos Boss's
64052	Premium (7 dias)
64053	Premium (30 dias)
31421	cert. dungeon(baixo)
31422	cert. dungeon(médio)
31423	cert. dungeon(alto)
31340	Elmo da Alma+0
31341	Elmo da Alma+1
31342	Elmo da Alma+2
31343	Elmo da Alma+3
31344	Elmo da Alma+4
31345	Elmo da Alma+5
31346	Elmo da Alma+6
31347	Elmo da Alma+7
31348	Elmo da Alma+8
31349	Elmo da Alma+9
31350	Elmo da Alma+0
31351	Elmo da Alma+1
31352	Elmo da Alma+2
31353	Elmo da Alma+3
31354	Elmo da Alma+4
31355	Elmo da Alma+5
31356	Elmo da Alma+6
31357	Elmo da Alma+7
31358	Elmo da Alma+8
31359	Elmo da Alma+9
31360	Elmo da Alma+0
31361	Elmo da Alma+1
31362	Elmo da Alma+2
31363	Elmo da Alma+3
31364	Elmo da Alma+4
31365	Elmo da Alma+5
31366	Elmo da Alma+6
31367	Elmo da Alma+7
31368	Elmo da Alma+8
31369	Elmo da Alma+9
31370	Elmo da Alma+0
31371	Elmo da Alma+1
31372	Elmo da Alma+2
31373	Elmo da Alma+3
31374	Elmo da Alma+4
31375	Elmo da Alma+5
31376	Elmo da Alma+6
31377	Elmo da Alma+7
31378	Elmo da Alma+8
31379	Elmo da Alma+9
31380	Brincos da Alma+0
31381	Brincos da Alma+1
31382	Brincos da Alma+2
31383	Brincos da Alma+3
31384	Brincos da Alma+4
31385	Brincos da Alma+5
31386	Brincos da Alma+6
31387	Brincos da Alma+7
31388	Brincos da Alma+8
31389	Brincos da Alma+9
31390	Pulseira da Alma+0
31391	Pulseira da Alma+1
31392	Pulseira da Alma+2
31393	Pulseira da Alma+3
31394	Pulseira da Alma+4
31395	Pulseira da Alma+5
31396	Pulseira da Alma+6
31397	Pulseira da Alma+7
31398	Pulseira da Alma+8
31399	Pulseira da Alma+9
31400	Colar da Alma+0
31401	Colar da Alma+1
31402	Colar da Alma+2
31403	Colar da Alma+3
31404	Colar da Alma+4
31405	Colar da Alma+5
31406	Colar da Alma+6
31407	Colar da Alma+7
31408	Colar da Alma+8
31409	Colar da Alma+9
31334	Piece of Ore (Low)
31335	Piece of Ore (High)
31326	Passiv Ticket (Low)
31327	Passiv Ticket (Mid)
31328	Passiv Ticket (High)
31280	Death Reaper Chest (Leg.)
31281	Baroness Chest (Leg.)
31282	Beran-Setaou Chest (Leg.)
31283	Azrael Chest (Leg.)
31284	Razador Chest (Leg.)
31285	Nemere Chest (Leg.)
31286	Jotun Thrym Chest (Leg.)
31287	Hydra´s Chest (Leg.)
31288	Gold Case (Leg.)
31289	Red Dragon Chest (Leg.)
31290	Akzadur Chest (Leg.)
31291	RX Nemere Chest (Leg.)
31292	RX Razador Chest (Leg.)
31293	Serpent Treasure (Leg.)
31294	Dragon Chest Light (Leg.)
31295	Dragon Chest Heavy (Leg.)
31310	Death Reaper Chest (Epic.)
31311	Baroness Chest (Epic.)
31312	Beran-Setaou Chest (Epic.)
31313	Azrael Chest (Epic.)
31314	Razador Chest (Epic.)
31315	Nemere Chest (Epic)
31316	Jotun Thrym Chest (Epic.)
31317	Hydra´s Chest (Epic.)
31318	Gold Case (Epic.)
31319	Red Dragon Chest (Epic.)
31320	Akzadur Chest (Epic.)
31321	RX Nemere Chest (Epic.)
31322	RX Razador Chest (Epic.)
31323	Serpent Treasure (Epic.)
31324	Dragon Chest Light (Epic.)
31325	Dragon Chest Heavy (Epic.)
64001	Cristal (cru)
64002	Cristal (tralhada)
64003	Cristal (raro)
64004	cristal (antigo)
64005	Cristal (lendário)
64011	frag. laranja (cru)
64012	frag. laranja (talhado)
64013	frag. laranja (raro)
64014	frag. laranja(antigo)
64015	frag. laranja (lendário)
64021	frag. Azul (cru)
64022	frag. Azul (talhado)
64023	frag. Azul (raro)
64024	frag. Azul (antigo)
64025	frag. Azul (lendário)
64031	Feitiço para Cristal
64032	Crystal Serum (1h)
64033	Crystal Serum (3h)
64034	Crystal Serum (6h)
64035	Pergaminho Mágico
31278	Smaragd Plate
31277	Shim. Gold Pearl
50940	domador (Monstros)
50941	domador (Monstros) av.
50942	domador (Monstros) exp.
50950	domador (Pe. Metin)
50951	domador (Pe. Metin) av.
50952	domador (Pe. Metin) exp.
50960	domador (Bosses)
50961	domador (Bosses) av.
50962	domador (Bosses) exp.
50970	domador (semi-hum.)
50971	domador (semi-hum.) av.
50972	domador (semi-hum.) exp.
50973	Pergaminho do Exorc. (T)
50974	Conselho do eremita (T)
1	Yang
2	English Version
10	Espada+0
11	Espada+1
12	Espada+2
13	Espada+3
14	Espada+4
15	Espada+5
16	Espada+6
17	Espada+7
18	Espada+8
19	Espada+9
20	Long Sword+0
21	Long Sword+1
22	Long Sword+2
23	Long Sword+3
24	Long Sword+4
25	Long Sword+5
26	Long Sword+6
27	Long Sword+7
28	Long Sword+8
29	Durendal's Bane
30	Crescent Sword+0
31	Crescent Sword+1
32	Crescent Sword+2
33	Crescent Sword+3
34	Crescent Sword+4
35	Crescent Sword+5
36	Crescent Sword+6
37	Crescent Sword+7
38	Crescent Sword+8
39	Crescent Sword+9
40	Bamboo Sword+0
41	Bamboo Sword+1
42	Bamboo Sword+2
43	Bamboo Sword+3
44	Bamboo Sword+4
45	Bamboo Sword+5
46	Bamboo Sword+6
47	Bamboo Sword+7
48	Bamboo Sword+8
49	Bamboo Sword+9
50	Broad Sword+0
51	Broad Sword+1
52	Broad Sword+2
53	Broad Sword+3
54	Broad Sword+4
55	Broad Sword+5
56	Broad Sword+6
57	Broad Sword+7
58	Broad Sword+8
59	Broad Sword+9
60	Silver Sword+0
61	Silver Sword+1
62	Silver Sword+2
63	Silver Sword+3
64	Silver Sword+4
65	Silver Sword+5
66	Silver Sword+6
67	Silver Sword+7
68	Silver Sword+8
69	Silver Sword+9
70	Orchid Sword+0
71	Orchid Sword+1
72	Orchid Sword+2
73	Orchid Sword+3
74	Orchid Sword+4
75	Orchid Sword+5
76	Orchid Sword+6
77	Orchid Sword+7
78	Orchid Sword+8
79	Orchid Sword+9
80	Bastard Sword+0
81	Bastard Sword+1
82	Bastard Sword+2
83	Bastard Sword+3
84	Bastard Sword+4
85	Bastard Sword+5
86	Bastard Sword+6
87	Bastard Sword+7
88	Bastard Sword+8
89	Bastard Sword+9
90	Barbarian Sword+0
91	Barbarian Sword+1
92	Barbarian Sword+2
93	Barbarian Sword+3
94	Barbarian Sword+4
95	Barbarian Sword+5
96	Barbarian Sword+6
97	Barbarian Sword+7
98	Barbarian Sword+8
99	Barbarian Sword+9
100	Bloody Sword+0
101	Bloody Sword+1
102	Bloody Sword+2
103	Bloody Sword+3
104	Bloody Sword+4
105	Bloody Sword+5
106	Bloody Sword+6
107	Bloody Sword+7
108	Bloody Sword+8
109	Bloody Sword+9
110	Great Sword+0
111	Great Sword+1
112	Great Sword+2
113	Great Sword+3
114	Great Sword+4
115	Great Sword+5
116	Great Sword+6
117	Great Sword+7
118	Great Sword+8
119	Great Sword+9
120	Flying Wizard Sword+0
121	Flying Wizard Sword+1
122	Flying Wizard Sword+2
123	Flying Wizard Sword+3
124	Flying Wizard Sword+4
125	Flying Wizard Sword+5
126	Flying Wizard Sword+6
127	Flying Wizard Sword+7
128	Flying Wizard Sword+8
129	Flying Wizard Sword+9
130	Half Moon Sword+0
131	Half Moon Sword+1
132	Half Moon Sword+2
133	Half Moon Sword+3
134	Half Moon Sword+4
135	Half Moon Sword+5
136	Half Moon Sword+6
137	Half Moon Sword+7
138	Half Moon Sword+8
139	Half Moon Sword+9
140	Espada da Batalha+0
141	Espada da Batalha+1
142	Espada da Batalha+2
143	Espada da Batalha+3
144	Espada da Batalha+4
145	Espada da Batalha+5
146	Espada da Batalha+6
147	Espada da Batalha+7
148	Espada da Batalha+8
149	Espada da Batalha+9
150	Lâmina Zanna Fantasma+0
151	Lâmina Zanna Fantasma+1
152	Lâmina Zanna Fantasma+2
153	Lâmina Zanna Fantasma+3
154	Lâmina Zanna Fantasma+4
155	Lâmina Zanna Fantasma+5
156	Lâmina Zanna Fantasma+6
157	Lâmina Zanna Fantasma+7
158	Lâmina Zanna Fantasma+8
159	Lâmina Zanna Fantasma+9
160	Nymph Sword+0
161	Nymph Sword+1
162	Nymph Sword+2
163	Nymph Sword+3
164	Nymph Sword+4
165	Nymph Sword+5
166	Nymph Sword+6
167	Nymph Sword+7
168	Nymph Sword+8
169	Nymph Sword+9
170	Espada Ferrão+0
171	Espada Ferrão+1
172	Espada Ferrão+2
173	Espada Ferrão+3
174	Espada Ferrão+4
175	Espada Ferrão+5
176	Espada Ferrão+6
177	Espada Ferrão+7
178	Espada Ferrão+8
179	Espada Ferrão+9
180	Espada Venenosa+0
181	Espada Venenosa+1
182	Espada Venenosa+2
183	Espada Venenosa+3
184	Espada Venenosa+4
185	Espada Venenosa+5
186	Espada Venenosa+6
187	Espada Venenosa+7
188	Espada Venenosa+8
189	Espada Venenosa+9
190	Espada Leão+0
191	Espada Leão+1
192	Espada Leão+2
193	Espada Leão+3
194	Espada Leão+4
195	Espada Leão+5
196	Espada Leão+6
197	Espada Leão+7
198	Espada Leão+8
199	Espada Leão+9
200	Lâmina cortante+0
201	Lâmina cortante+1
202	Lâmina cortante+2
203	Lâmina cortante+3
204	Lâmina cortante+4
205	Lâmina cortante+5
206	Lâmina cortante+6
207	Lâmina cortante+7
208	Lâmina cortante+8
209	Lâmina cortante+9
210	Deadly Blade+0
211	Deadly Blade+1
212	Deadly Blade+2
213	Deadly Blade+3
214	Deadly Blade+4
215	Deadly Blade+5
216	Deadly Blade+6
217	Deadly Blade+7
218	Deadly Blade+8
219	Deadly Blade+9
220	Lunar Sword+0
221	Lunar Sword+1
222	Lunar Sword+2
223	Lunar Sword+3
224	Lunar Sword+4
225	Lunar Sword+5
226	Lunar Sword+6
227	Lunar Sword+7
228	Lunar Sword+8
229	Lunar Sword+9
230	Heavenly Sword+0
231	Heavenly Sword+1
232	Heavenly Sword+2
233	Heavenly Sword+3
234	Heavenly Sword+4
235	Heavenly Sword+5
