VNUM	LOCALE_NAME
64050	Dublu Drop Metin
64051	Dublu Drop Sefi
64052	Premium (7 Zile)
64053	Premium (30 Days)
31421	Dungeon Cert.(Low)
31422	Dungeon Cert.(Mid)
31423	Dungeon Cert.(High)
31340	Coif Suflet+0
31341	Coif Suflet+1
31342	Coif Suflet+2
31343	Coif Suflet+3
31344	Coif Suflet+4
31345	Coif Suflet+5
31346	Coif Suflet+6
31347	Coif Suflet+7
31348	Coif Suflet+8
31349	Coif Suflet+9
31350	Gluga Suflet+0
31351	Gluga Suflet+1
31352	Gluga Suflet+2
31353	Gluga Suflet+3
31354	Gluga Suflet+4
31355	Gluga Suflet+5
31356	Gluga Suflet+6
31357	Gluga Suflet+7
31358	Gluga Suflet+8
31359	Gluga Suflet+9
31360	Palarie Suflet+0
31361	Palarie Suflet+1
31362	Palarie Suflet+2
31363	Palarie Suflet+3
31364	Palarie Suflet+4
31365	Palarie Suflet+5
31366	Palarie Suflet+6
31367	Palarie Suflet+7
31368	Palarie Suflet+8
31369	Palarie Suflet+9
31370	Coif Suflet+0
31371	Coif Suflet+1
31372	Coif Suflet+2
31373	Coif Suflet+3
31374	Coif Suflet+4
31375	Coif Suflet+5
31376	Coif Suflet+6
31377	Coif Suflet+7
31378	Coif Suflet+8
31379	Coif Suflet+9
31380	Cercei Suflet+0
31381	Cercei Suflet+1
31382	Cercei Suflet+2
31383	Cercei Suflet+3
31384	Cercei Suflet+4
31385	Cercei Suflet+5
31386	Cercei Suflet+6
31387	Cercei Suflet+7
31388	Cercei Suflet+8
31389	Cercei Suflet+9
31390	Bratara Suflet+0
31391	Bratara Suflet+1
31392	Bratara Suflet+2
31393	Bratara Suflet+3
31394	Bratara Suflet+4
31395	Bratara Suflet+5
31396	Bratara Suflet+6
31397	Bratara Suflet+7
31398	Bratara Suflet+8
31399	Bratara Suflet+9
31400	Colier Suflet+0
31401	Colier Suflet+1
31402	Colier Suflet+2
31403	Colier Suflet+3
31404	Colier Suflet+4
31405	Colier Suflet+5
31406	Colier Suflet+6
31407	Colier Suflet+7
31408	Colier Suflet+8
31409	Colier Suflet+9
31334	Bucata de minereu (Low)
31335	Bucata de minereu (High)
31326	Cufar Pasiv (S)
31327	Cufar Pasiv (M)
31328	Cufar Pasiv (R)
31280	Cufar Death Reaper (Leg.)
31281	Cufar Baroness (Leg.)
31282	Cufar Beran-Setaou (Leg.)
31283	Cufar Azrael (Leg.)
31284	Cufar Razador  (Leg.)
31285	Cufar Nemere (Leg.)
31286	Cufar Jotun Thrym (Leg.)
31287	Cufar Hydra (Leg.)
31288	Cufar Zodiac (Leg.)
31289	Cufar Meley (Leg.)
31290	Cufar Akzadur (Leg.)
31291	Cufar RX Nemere (Leg.)
31292	Cufar RX Razador (Leg.)
31293	Cufar Sarpe (Leg.)
31294	Cufar Dragon Usor (Leg.)
31295	Cufar Dragon Greu (Leg.)
31310	Cufar Death Reaper (Epic)
31311	Cufar Baroness (Epic)
31312	Cufar Beran-Setaou (Epic)
31313	Cufar Azrael (Epic)
31314	Cufar Razador (Epic)
31315	Cufar Nemere (Epic)
31316	Cufar Jotun Thrym (Epic)
31317	Cufar Hydra (Epic)
31318	Cufar Zodiac (Epic)
31319	Cufar Meley (Epic)
31320	Cufar Akzadur (Epic)
31321	Cufar RX Nemere (Epic)
31322	Cufar RX Razador (Epic)
31323	Cufar Sarpe (Epic)
31324	Cufar Dragon Usor (Epic)
31325	Cufar Dragon Greu (Epic)
64001	Cristal (Brut)
64002	Cristal (Taiat)
64003	Cristal (Rar)
64004	Cristal (Antic)
64005	Cristal (Leg.)
64011	Shard portocaliu (Brut)
64012	Shard portocaliu (Taiat)
64013	Shard portocaliu (Rar)
64014	Shard portocaliu (Antic)
64015	Shard portocaliu (Leg.)
64021	Shard albastru (Brut)
64022	Shard albastru (Taiat)
64023	Shard albastru (Rar)
64024	Shard albastru (Antic)
64025	Shard albastru (Leg.)
64031	Imbun. cristal
64032	Crystal Serum (1h)
64033	Crystal Serum (3h)
64034	Crystal Serum (6h)
64035	Magia pergamentului
31278	Smaragd Plate
31277	Perla aurie stralucitoa.
50940	Tamer (Monstri)
50941	Tamer (Monstri) av.
50942	Tamer (Monstri) exp.
50950	Tamer (Pietre Metin)
