VNUM	LOCALE_NAME
64050	Metin Double Loot
64051	Boss Double Loot
64052	Premium (7 Gün)
64053	Premium (30 Gün)
31421	Dungeon Cert.(Düþük)
31422	Dungeon Cert.(Mid)
31423	Dungeon Cert.(Yüksek)
31340	Ruh Maskesi+0
31341	Ruh Maskesi+1
31342	Ruh Maskesi+2
31343	Ruh Maskesi+3
31344	Ruh Maskesi+4
31345	Ruh Maskesi+5
31346	Ruh Maskesi+6
31347	Ruh Maskesi+7
31348	Ruh Maskesi+8
31349	Ruh Maskesi+9
31350	Ruh Maskesi+0
31351	Ruh Maskesi+1
31352	Ruh Maskesi+2
31353	Ruh Maskesi+3
31354	Ruh Maskesi+4
31355	Ruh Maskesi+5
31356	Ruh Maskesi+6
31357	Ruh Maskesi+7
31358	Ruh Maskesi+8
31359	Ruh Maskesi+9
31360	Ruh Maskesi+0
31361	Ruh Maskesi+1
31362	Ruh Maskesi+2
31363	Ruh Maskesi+3
31364	Ruh Maskesi+4
31365	Ruh Maskesi+5
31366	Ruh Maskesi+6
31367	Ruh Maskesi+7
31368	Ruh Maskesi+8
31369	Ruh Maskesi+9
31370	Ruh Maskesi+0
31371	Ruh Maskesi+1
31372	Ruh Maskesi+2
31373	Ruh Maskesi+3
31374	Ruh Maskesi+4
31375	Ruh Maskesi+5
31376	Ruh Maskesi+6
31377	Ruh Maskesi+7
31378	Ruh Maskesi+8
31379	Ruh Maskesi+9
31380	Ruh Küpesi+0
31381	Ruh Küpesi+1
31382	Ruh Küpesi+2
31383	Ruh Küpesi+3
31384	Ruh Küpesi+4
31385	Ruh Küpesi+5
31386	Ruh Küpesi+6
31387	Ruh Küpesi+7
31388	Ruh Küpesi+8
31389	Ruh Küpesi+9
31390	Ruh Bilekliði+0
31391	Ruh Bilekliði+1
31392	Ruh Bilekliði+2
31393	Ruh Bilekliði+3
31394	Ruh Bilekliði+4
31395	Ruh Bilekliði+5
31396	Ruh Bilekliði+6
31397	Ruh Bilekliði+7
31398	Ruh Bilekliði+8
31399	Ruh Bilekliði+9
31400	Ruh Kolyesi+0
31401	Ruh Kolyesi+1
31402	Ruh Kolyesi+2
31403	Ruh Kolyesi+3
31404	Ruh Kolyesi+4
31405	Ruh Kolyesi+5
31406	Ruh Kolyesi+6
31407	Ruh Kolyesi+7
31408	Ruh Kolyesi+8
31409	Ruh Kolyesi+9
31334	Cevher Parçasý (Düþük)
31335	Cevher Parçasý (Yüksek)
31326	Pasif Sandýðý (Düsük)
31327	Pasif Sandýðý (Orta)
31328	Pasif Sandýðý (Yüksek)
31280	Death Reaper Chest (Leg.)
31281	Baroness Chest (Leg.)
31282	Beran-Setaou Chest (Leg.)
31283	Azrael Chest (Leg.)
31284	Razador Chest (Leg.)
31285	Nemere Chest (Leg.)
31286	Jotun Thrym Chest (Leg.)
31287	Hydra´s Chest (Leg.)
31288	Gold Case (Leg.)
31289	Red Dragon Chest (Leg.)
31290	Akzadur Chest (Leg.)
31291	RX Nemere Chest (Leg.)
31292	RX Razador Chest (Leg.)
31293	Serpent Treasure (Leg.)
31294	Dragon Chest Light (Leg.)
31295	Dragon Chest Heavy (Leg.)
31310	Death Reaper Chest (Epic.)
31311	Baroness Chest (Epic.)
31312	Beran-Setaou Chest (Epic.)
31313	Azrael Chest (Epic.)
31314	Razador Chest (Epic.)
31315	Nemere Chest (Epic)
31316	Jotun Thrym Chest (Epic.)
31317	Hydra´s Chest (Epic.)
31318	Gold Case (Epic.)
31319	Red Dragon Chest (Epic.)
31320	Akzadur Chest (Epic.)
31321	RX Nemere Chest (Epic.)
31322	RX Razador Chest (Epic.)
31323	Serpent Treasure (Epic.)
31324	Dragon Chest Light (Epic.)
31325	Dragon Chest Heavy (Epic.)
