VNUM	LOCALE_NAME
101	Wild Dog
102	Wolf
103	Alpha Wolf
104	Blue Wolf
105	Alpha Blue Wolf
106	Grey Wolf
107	Alpha Grey Wolf
108	Wild Boar
109	Red Wild Boar
110	Bear
111	Grizzly Bear
112	Black Bear
113	Brown Bear
114	Tiger
115	White Tiger
131	Cursed Wolf
132	Cursed Alpha Wolf
133	Cursed Blue Wolf
134	Cursed Alpha Blue Wolf
135	Cursed Grey Wolf
136	Cursed Alpha Grey Wolf
137	Cursed Wild Boar
138	Cursed Red Wild Boar
139	Cursed Bear
140	Cursed Grizzly Bear
141	Cursed Black Bear
142	Cursed Brown Bear
143	Cursed Tiger
144	Cursed White Tiger
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Hungry Stray Dog
172	Hungry Wolf
173	Hungry Alpha Wolf
174	Hungry Blue Wolf
175	Hungry Alpha Blue Wolf
176	Hungry Grey Wolf
177	Hungry Alpha Grey Wolf
178	Hungry Wild Boar
179	Hungry Red Boar
180	Hungry Bear
181	Hungry Grizzly
182	Hungry Black Bear
183	Hungry Brown Bear
184	Hungry Tiger
185	Hungry White Tiger
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	White Oath Soldier
302	White Oath Archer
303	White Oath General
304	White Oath Commander
331	White Oath Soldier
332	White Oath Archer
333	White Oath General
334	White Oath Commander
351	Craven White Oath Sold.
352	Craven White Oath Archer
353	Craven White Oath Gen.
354	Craven Wh. Oath Com.
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Dispirited Mi-Jung
396	Dispirited Eun-Jung
397	Dispirited Se-Rang
398	Dispirited Jin-Hee
401	Black Wind Soldier
402	Black Wind Maniac
403	Black Wind Archer
404	Black Wind Jak-To
405	Black Wind To-Su
406	Black Wind Gu-Ryung
431	Black Storm Soldier
432	Black Storm Maniac
433	Black Storm Archer
434	Black Storm Joh-Hwan
435	Black Storm Kyuk-Jang
436	Black Storm Pho-Hwan
451	Evil Bl. Storm Soldier
452	Evil Bl. Storm Maniac
453	Evil Bl. Storm Archer
454	Evil Bl. Storm Joh-Hwan
455	Evil Bl. Storm Kyuk-Jang
456	Evil Bl. Storm Pho-Hwa
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Savage Infantryman
502	Savage Minion
503	Savage Archer
504	Savage General
531	Bestial Soldier
532	Bestial Maniac
533	Bestial Archer
534	Bestial Specialist
551	Strong Savage Infantry
552	Strong Savage Minion
553	Strong Savage Archer
554	Strong Savage General
591	Bestial Captain
595	Bestial Geum-Chul
601	Orc
602	Orc Scout
603	Orc Fighter
604	Orc Sorcerer
631	Elite Orc
632	Elite Orc Scout
633	Elite Orc Fighter
634	Elite Orc Sorcerer
635	Elite Orc General
636	Black Orc
637	Black Orc Giant
651	Bold Big Orc
652	Bold Big Orc Scout
653	Bold Big Orc Fighter
654	Bold Big Orc Sorcerer
655	Bold Big Orc General
656	Bold Black Orc
657	Bold Black Giant Orc
691	Chief Orc
692	Chief Elite Orc
693	Reborn Chief Ork
701	Dark Fanatic
702	Dark Arahan
703	Esoteric Arahan Fighter
704	Chief Esoteric Arahan
705	Esoteric Executioner
706	Dark Tormentor
707	Dark Summoner
731	Proud Dark Fanatic
732	Proud Dark Arahan
733	Proud Dark Fighter
734	Proud Dark Colonel
735	Proud Dark Rifleman
736	Elite Esoteric Tormentor
737	Elite Esoteric Summoner
751	High Fanatic
752	High Arahan
753	High Arahan Fighter
754	High Elite Arahan
755	High Deathsman
756	High Tormentor
757	High Evocator
766	Babosa
767	Babosa agresiva
768	Reina Babosa
771	Bestial Fanatic
772	Bestial Arahan
773	Bestial Arahan Fighter
774	Bestial Chief Arahan
775	Bestial Deathsman
776	Bestial Tormentor
777	Bestial Evocator
791	Dark Leader
792	Dark-Ghost Leader
793	Elite Dark Leader
794	Elite Dark-Ghost Leader
795	Elite Fighter
796	Elite Esoteric Fighter
800	Oso rabioso
801	Dino amoroso
802	Señor del desamor
803	Bestia rompe corazones
804	Mutante amoroso
805	Arpia despechada
899	Tiger Shop
900	Costumes
901	Dead Body Ghost
902	Plagued Dog
903	Plagued Man
904	Plagued Swordman
905	Plagued Spearman
906	Plagued Archer
907	Plagued Leader
931	Angry Dead Body Ghost
932	Angry Plagued Dog
933	Angry Plagued Man
934	Angry Plagued Fighter
935	Angry Plagued Spearman
936	Angry Plagued Archer
937	Angry Plagued Leader
991	Plagued Egg
992	Plague Carrier
993	Giant Plague Carrier
1001	Demon Soldier
1002	Demon Archer
1003	Demon Spearman
1004	Demon Shaman
1031	Vile Demon Soldier
1032	Vile Demon Archer
1033	Vile Demon Spearman
1034	Vile Demon Shaman
1035	Ghost of Grudge
1036	Ghost of Chaos
1037	Vile Demon Leader
1038	Skull Sword Master
1039	Flying Skull
1040	Immortal Ghost
1041	Demonic Beast
1061	Brutal Demon Soldier
1062	Brutal Demon Archer
1063	Brutal Demonspearman
1064	Brutal Demon Shaman
1065	Brutal Ghost of Grudge
1066	Brutal Ghost of Chaos
1067	Brutal Demon Leader
1068	Ghost Sword Master
1069	Brutal Flying Skull
1070	Immortal Ghost
1071	Demonic Beast
1091	Demon King
1092	Proud Demon King
1093	Death Reaper
1094	Elite Vile Demon King
1095	Blue Death
1096	????
1101	Enchanted Ice
1102	Ice Killer Whale
1103	Ice Bug
1104	Ice Lion
1105	Frosty Ice Man
1106	Yeti
1107	Ice Golem
1131	Underworld Ice Splinters
1132	Underwrld IceKillerWhale
1133	Underworld Ice Bug
1134	Underworld Ice Lion
1135	Underworld Ice Man
1136	Underworld Yeti
1137	Underworld Ice Golem
1151	Ice Devil
1152	Icehorn Killer Whale
1153	Ice Bug
1154	Seol-Gu
1155	Ice Man
1156	Ice Giant
1157	Ice Golem
1171	Mean Enchanted Ice
1172	Mean Ice Killer Whale
1173	Mean Ice Bug
1174	Mean Ice Lion
1175	Mean Ice Man
1176	Mean Yeti
1177	Mean Ice Golem
1191	Ice Witch
1192	Mighty Ice Witch
1301	Tree Frog Soldier
1302	Tree Frog Leader
1303	Leflet Bogeyman
1304	Yellow Tiger Ghost
1305	Bullfrog General
1306	Elite Yellow Tiger Ghost
1307	Elite Yellow Tiger Ghost
1308	Elite Yellow Tiger Ghost
1309	Elite Yellow Tiger Ghost
1310	Elite Yellow Tiger Ghost
1331	Big Tree Frog Soldier
1332	Big Tree Frog Leader
1333	Big Bogeyman
1334	Big Yellow Tiger Ghost
1335	Evil Bullfrog General
1401	Destroyer
1402	Axe Fighter
1403	Thousand Fighter
1501	Stone Golem
1502	Stone Cruncher
1503	Giant Rock Golem
1601	Ogre Warrior
1602	Ogre Butcher
1603	Ogre Berserk
1901	Nine Tails
1902	Elite Nine Tails
1903	Elite Nine Tails
1904	Elite Nine Tails
1905	Elite Nine Tails
1906	Elite Nine Tails
2001	Baby Spider
2002	Poison Spider
2003	Red Poison Spider
2004	Claw Spider
2005	Soldier Spider
2031	Baby Poison Spider
2032	Deadly Poison Spider
2033	Red Angry Poison Spider
2034	Claw Poison Spider
2035	Soldier Poison Spider
2036	Proud Soldier Spider
2051	Mean Baby Poison Spider
2052	Mean Dead. Poison Spider
2053	Mean Red Poison Spider
2054	Mean Claw Poison Spider
2055	Mean Sold. Poison Spider
2061	Small Poison Spider
2062	Deadly Poison Spider
2063	Red Deadly Poison Spider
2064	Claw Poison Spider
2065	Soldier Poison Spider
2071	Best. Baby Poison Spider
2072	Best. Deadly Poi. Spider
2073	Best. Red Poison Spider
2074	Best. Claw Poison Spider
2075	Best. Sold. Pois. Spider
2076	Best. Strg. Poi. Spider
2091	Queen Spider
2092	Spider Baroness
2093	Dark Queen Spider
2094	Spider Baron
2095	Spider Egg
2101	Desert Fox
2102	Desert Flying Eye
2103	King Scorpion
2104	Young Scorpion Man
2105	Scorpion Archer
2106	Snake Swordsman
2107	Snake Archer
2108	Desert Outlaw
2131	Bestial Scorpion Man
