Vnum	LocalizedName
101	Caine salbatic
102	Lup
103	Lup Alpha
104	Lup Albastru
105	Lup Alpha Albastru
106	Lup Gri
107	Lup Alpha Gri
108	Mistret Salbatic
109	Mistret Salbatic Rosu
110	Urs
111	Urs Grizzly
112	Urs Negru
113	Urs Brun
114	Tigru
115	Tigru Alb
131	Lup Blestemat
132	Lup Blestemat Alpha
133	Lup Blestemat Albastru
134	Lup Alpha Albastru Blest
135	Lup Blestemat Gri
136	Lup Blest Alpha Gri
137	Mistret Blestemat
138	Mistret Blestemat Rosu
139	Urs Blestemat
140	Urs Blestemat Grizzly
141	Urs Blestemat Negru
142	Urs Blestemat Brun
143	Tigru Blestemat
144	Tigru Blestemat Alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Caine salbatic flamand
172	Lup Flamand
173	Lup Flamand Alpha
174	Lup Flamand Albastru
175	Lup Flamand Alpha Albast
176	Lup Flamand Gri
177	Lup Flamand Alpha Gri
178	Mistret Flamand
179	Mistret Flamand Rosu
180	Urs Flamand
181	Urs Flamand Grizzly
182	Urs Flamand Negru
183	Urs Flamand Brun
184	Tigru Flamand
185	Tigru Flamand Alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoana Soldat
302	Arcas Amazoana
303	Amazoana General
304	Amazoana Comandant
331	Amazoana Soldat
332	Amazoana Arcas
333	Amazoana General
334	Amazoana Comandant
351	Amazoana Soldat Lasa
352	Amazoana Arcas Lasa
353	Amazoana General Lasa
354	Amazoana Comandant Lasa
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vant negru
402	Posedat de vant negru
403	Arcas vant negru
404	vant negru Jak-To
405	vant negru To-Su
406	vant negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcas negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rau
452	Posedat de atac rau
453	Arcas de atac rau
454	Joh-Hwan de atac rau
455	Kyuk-Jang de atac rau
456	Pho-Hwan de atac rau
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist Salbatic
502	Salbatic Devotat
503	Arcas salbatic
504	General Salbatic
531	Soldat brutal
532	Posedat brutal
533	Arcas brutal
534	Specialist brutal
551	Infanterist Salbatic Dur
552	Locotenent Salbatic Dur
553	Arcas Salbatic Dur
554	General Salbatic Dur
591	Capitanul Bestie
595	Geum-Chul brutal
601	Ork
602	Spion ork
603	Orc Luptator
604	Orc Vrajitor
631	Orc Elite
632	Orc Elite Cercetas
633	Orc Elite Luptator
634	Orc Elite Vrajitor
635	Orc Elite General
636	Orc Negru
637	Orc Negru Urias
651	Orc Mare Curajos
652	Orc Mare Cercetas
653	Orc Mare Luptator
654	Orc Mare Vrajitor
655	Orc Mare General
656	Orc Negru Curajos
657	Orc Negru Gigant
691	Orc Sef
692	Orc Elite Sef
693	Orc Sef Spirit
701	Fanatic Intunecat
702	Arahan Intunecat
703	Luptator Intunecat
704	Arahan Intunecat Super
705	Calau Intunecat
706	Despot Intunecat
707	Incantator Intunecat
731	Fanatic Mandru Intunecat
732	Arahan Intunecat Mandru
733	Luptator Intunecat mandr
734	Colonel Intunecat Mandru
735	Puscas Malefic Mandru
736	Despot Intunecat mandru
737	Vrajitor Intunecat mandr
751	Fanatic Inalt
752	Arahan Inalt
753	Arahan Luptator Inalt
754	Arahan Superior Inalt
755	Calau Inalt
756	Despot Inalt
757	Incantator Inalt
771	Fanatic brutal
772	Arahan Brutal
773	Arahan Luptator Brutal
774	Arahan Superior Brutal
775	Calau brutal
776	Despot brutal
777	Incantator brutal
791	Conducator Intunecat
792	Conducator Spirit Negru
793	Conducator Intun. elita
794	Strigoi Intunecat
795	Luptator de elita
796	Lupt. Intunec. de elita
901	Spiritul Cadavrului
902	Caine al ciumei
903	Om al ciumei
904	Luptator sabie al ciumei
905	Luptator sulita al ciume
906	Arcas al ciumei
907	Comandant al ciumei
931	Spirit Cadavru Furios
932	Caine al ciumei salbatic
933	Om al ciumei salbatic
934	Luptator al ciumei salb.
935	Lupt. sulita al cium. s.
936	Arcas al ciumei salbatic
937	Com. al ciumei furios
991	Ou al ciumei
992	Purtator de ciuma
993	Purtator de ciuma urias
1001	Soldat Demon
1002	Arcas Demon
1003	Demon Sulitas
1004	Demon ªaman
1031	Soldat comun
1032	Arcas comun
1033	Luptator Sulita Comun
1034	ªaman comun
1035	Spiritul maniei
1036	Spiritul haosului
1037	Demon comandant comun
1038	Maestru craniu sabie
1039	Craniu zburator
1040	Spirit nemuritor
1041	Animal demonic
1061	Spirit soldat comun
1062	Spirit arcas comun
1063	Spirit luptator comun
1064	Spirit ªaman Comun
1065	Spirit al maniei comun
1066	Spirit al haosului comun
1067	Spirit comandant comun
1068	Samurai Fantoma
1069	Craniu zburator comun
1070	Spirit nemuritor
1071	Animal demonic
1091	Demon rege
